Вид спорта;Район;Число активированных спортзон по доступности;Удовлетворенность спортзонами
Катание с горки;поселение Рязановское;0;0.000
Кендо;поселение Рязановское;0;0.000
Кёрлинг;поселение Рязановское;0;0.000
Киберспорт;поселение Рязановское;0;0.000
Кикбоксинг;поселение Рязановское;0;0.000
Киокусинкай;поселение Рязановское;0;0.000
Комплексное единоборство;поселение Рязановское;0;0.000
Комплексное соревнование;поселение Рязановское;0;0.000
Конгрессы, конференции, семинары;поселение Рязановское;0;0.000
Конный спорт;поселение Рязановское;0;0.000
Конькобежный спорт;поселение Рязановское;0;0.000
Кроссфит;поселение Рязановское;0;0.000
Лыжное двоеборье;поселение Рязановское;0;0.000
Мас-рестлинг;поселение Рязановское;0;0.000
Мини-гольф;поселение Рязановское;0;0.000
Мотоциклетный спорт;поселение Рязановское;0;0.000
Настольные игры;поселение Рязановское;0;0.000
Новус;поселение Рязановское;0;0.000
Обучение правилам дорожного движения;поселение Рязановское;0;0.000
Отдых на природе;поселение Рязановское;0;0.000
Петанк;поселение Рязановское;0;0.000
Подводный спорт;поселение Рязановское;0;0.000
Полиатлон;поселение Рязановское;0;0.000
Комплексные мероприятия;поселение Рязановское;0;0.000
Практическая стрельба;поселение Рязановское;0;0.000
Прокат спортинвентаря;поселение Рязановское;0;0.000
Прыжки в воду;поселение Рязановское;0;0.000
Прыжки на батуте;поселение Рязановское;0;0.000
Прыжки на лыжах с трамплина;поселение Рязановское;0;0.000
Пулевая стрельба;поселение Рязановское;0;0.000
Пейнтбол;поселение Рязановское;0;0.000
Регби;поселение Рязановское;0;0.000
Роллер спорт;поселение Рязановское;0;0.000
Рукопашный бой;поселение Рязановское;0;0.000
Рыболовный спорт;поселение Рязановское;0;0.000
Самбо;поселение Рязановское;0;0.000
Самокатный спорт;поселение Рязановское;0;0.000
Семейный отдых;поселение Рязановское;0;0.000
Силовой;поселение Рязановское;0;0.000
Скалолазание;поселение Рязановское;0;0.000
Скандинавская ходьба;поселение Рязановское;0;0.000
Сквош;поселение Рязановское;0;0.000
Скейтбординг;поселение Рязановское;0;0.000
Смешанное единоборство (ММА);поселение Рязановское;0;0.000
Сноуборд;поселение Рязановское;0;0.000
Современное пятиборье;поселение Рязановское;0;0.000
Софтбол;поселение Рязановское;0;0.000
Спорт глухих;поселение Рязановское;0;0.000
Спорт лиц с ОВЗ;поселение Рязановское;0;0.000
Спорт лиц с поражением ОДА;поселение Рязановское;0;0.000
Спортивная акробатика;поселение Рязановское;0;0.000
Спортивная аэробика;поселение Рязановское;0;0.000
Спортивная борьба;поселение Рязановское;0;0.000
Спортивная гимнастика;поселение Рязановское;0;0.000
Спортивное ориентирование;поселение Рязановское;0;0.000
Спортивный туризм;поселение Рязановское;0;0.000
Стендовая стрельба;поселение Рязановское;0;0.000
Страйкбол;поселение Рязановское;0;0.000
Стрельба;поселение Рязановское;0;0.000
Стрельба из арбалета;поселение Рязановское;0;0.000
Стрельба из стрелкового оружия;поселение Рязановское;0;0.000
Стрельба из лука;поселение Рязановское;0;0.000
Стрельба из табельного оружия;поселение Рязановское;0;0.000
Стрельба из электронного оружия;поселение Рязановское;0;0.000
Сумо;поселение Рязановское;0;0.000
Тайский бокс;поселение Рязановское;0;0.000
Тхэквондо;поселение Рязановское;0;0.000
Ушу;поселение Рязановское;0;0.000
Фехтование;поселение Рязановское;0;0.000
Фигурное катание;поселение Рязановское;0;0.000
Фитнес-аэробика;поселение Рязановское;0;0.000
Флорбол;поселение Рязановское;0;0.000
Фристайл;поселение Рязановское;0;0.000
Футбольный фристайл;поселение Рязановское;0;0.000
Хоккей на траве;поселение Рязановское;0;0.000
Хореография;поселение Рязановское;0;0.000
Чир спорт;поселение Рязановское;0;0.000
Экспозиции;поселение Рязановское;0;0.000
Эстетическая гимнастика;поселение Рязановское;0;0.000
Авиамодельный спорт;поселение Рязановское;0;0.000
Автомобильный спорт;поселение Сосенское;0;0.000
Автомодельный спорт;поселение Сосенское;0;0.000
Акробатический рок-н-ролл;поселение Сосенское;0;0.000
Американский футбол;поселение Сосенское;0;0.000
Армейский рукопашный бой;поселение Сосенское;0;0.000
Армлифтинг;поселение Сосенское;0;0.000
Армрестлинг;поселение Сосенское;0;0.000
Аэробика;поселение Сосенское;0;0.000
Бег;поселение Сосенское;0;0.000
Бейсбол;поселение Сосенское;0;0.000
Биатлон;поселение Сосенское;0;0.000
Бильярдный спорт;поселение Сосенское;0;0.000
Бодибилдинг;поселение Сосенское;0;0.000
Бокс;поселение Сосенское;0;0.000
Борьба на поясах;поселение Сосенское;0;0.000
Боулинг;поселение Сосенское;0;0.000
Бочча;поселение Сосенское;0;0.000
Веломобильный спорт;поселение Сосенское;0;0.000
Велопрогулки;поселение Сосенское;0;0.000
Велоспорт;поселение Сосенское;0;0.000
Велоспорт - Маунтинбайк;поселение Сосенское;0;0.000
Велоспорт - Трек;поселение Сосенское;0;0.000
Велоспорт - Шоссе;поселение Сосенское;0;0.000
Водное поло;поселение Сосенское;0;0.000
Воднолыжный спорт;поселение Сосенское;0;0.000
Физкультурно-спортивный комплекс ГТО;поселение Сосенское;0;0.000
Всестилевое каратэ;поселение Сосенское;0;0.000
Гиревой спорт;поселение Сосенское;0;0.000
Гольф;поселение Сосенское;0;0.000
Горнолыжный спорт;поселение Сосенское;0;0.000
Городошный спорт;поселение Сосенское;0;0.000
Гребля на байдарках и каноэ;поселение Сосенское;0;0.000
Гребля на шлюпках;поселение Сосенское;0;0.000
Гребной спорт;поселение Сосенское;0;0.000
Дартс;поселение Сосенское;0;0.000
Джиу-джитсу;поселение Сосенское;0;0.000
Дзюдо;поселение Сосенское;0;0.000
Ездовой спорт;поселение Сосенское;0;0.000
Зимнее купание;поселение Сосенское;0;0.000
Зорбинг;поселение Сосенское;0;0.000
Зумба;поселение Сосенское;0;0.000
Игра в снежки;поселение Сосенское;0;0.000
Йога;поселение Сосенское;0;0.000
Капоэйра;поселение Сосенское;0;0.000
Каратэ;поселение Сосенское;0;0.000
Катание на ездовой упряжке;поселение Сосенское;0;0.000
Катание на лошадях;поселение Сосенское;0;0.000
Катание на лыжах;поселение Сосенское;0;0.000
Катание на надувных санях;поселение Сосенское;0;0.000
Катание на санках;поселение Сосенское;0;0.000
Катание на тюбингах;поселение Сосенское;0;0.000
Кендо;поселение Сосенское;0;0.000
Кёрлинг;поселение Сосенское;0;0.000
Киберспорт;поселение Сосенское;0;0.000
Кикбоксинг;поселение Сосенское;0;0.000
Киокусинкай;поселение Сосенское;0;0.000
Комплексное единоборство;поселение Сосенское;0;0.000
Комплексное соревнование;поселение Сосенское;0;0.000
Конгрессы, конференции, семинары;поселение Сосенское;0;0.000
Конный спорт;поселение Сосенское;0;0.000
Конькобежный спорт;поселение Сосенское;0;0.000
Кроссфит;поселение Сосенское;0;0.000
Лыжное двоеборье;поселение Сосенское;0;0.000
Мас-рестлинг;поселение Сосенское;0;0.000
Мини-гольф;поселение Сосенское;0;0.000
Мотоциклетный спорт;поселение Сосенское;0;0.000
Настольные игры;поселение Сосенское;0;0.000
Новус;поселение Сосенское;0;0.000
Обучение правилам дорожного движения;поселение Сосенское;0;0.000
Отдых на природе;поселение Сосенское;0;0.000
Парусный спорт;поселение Сосенское;0;0.000
Пауэрлифтинг;поселение Сосенское;0;0.000
Петанк;поселение Сосенское;0;0.000
Подводный спорт;поселение Сосенское;0;0.000
Полиатлон;поселение Сосенское;0;0.000
Комплексные мероприятия;поселение Сосенское;0;0.000
Практическая стрельба;поселение Сосенское;0;0.000
Прокат спортинвентаря;поселение Сосенское;0;0.000
Прыжки в воду;поселение Сосенское;0;0.000
Прыжки на батуте;поселение Сосенское;0;0.000
Прыжки на лыжах с трамплина;поселение Сосенское;0;0.000
Пулевая стрельба;поселение Сосенское;0;0.000
Пейнтбол;поселение Сосенское;0;0.000
Регби;поселение Сосенское;0;0.000
Рукопашный бой;поселение Сосенское;0;0.000
Рыболовный спорт;поселение Сосенское;0;0.000
Самбо;поселение Сосенское;0;0.000
Самокатный спорт;поселение Сосенское;0;0.000
Семейный отдых;поселение Сосенское;0;0.000
Силовой;поселение Сосенское;0;0.000
Скандинавская ходьба;поселение Сосенское;0;0.000
Сквош;поселение Сосенское;0;0.000
Смешанное единоборство (ММА);поселение Сосенское;0;0.000
Сноуборд;поселение Сосенское;0;0.000
Современное пятиборье;поселение Сосенское;0;0.000
Софтбол;поселение Сосенское;0;0.000
Спорт глухих;поселение Сосенское;0;0.000
Спорт лиц с ОВЗ;поселение Сосенское;0;0.000
Спорт лиц с поражением ОДА;поселение Сосенское;0;0.000
Спортивная акробатика;поселение Сосенское;0;0.000
Спортивная аэробика;поселение Сосенское;0;0.000
Спортивная борьба;поселение Сосенское;0;0.000
Спортивное ориентирование;поселение Сосенское;0;0.000
Стендовая стрельба;поселение Сосенское;0;0.000
Страйкбол;поселение Сосенское;0;0.000
Стрельба;поселение Сосенское;0;0.000
Стрельба из стрелкового оружия;поселение Сосенское;0;0.000
Стрельба из лука;поселение Сосенское;0;0.000
Стрельба из табельного оружия;поселение Сосенское;0;0.000
Стрельба из электронного оружия;поселение Сосенское;0;0.000
Сумо;поселение Сосенское;0;0.000
Тайский бокс;поселение Сосенское;0;0.000
Тхэквондо;поселение Сосенское;0;0.000
Фехтование;поселение Сосенское;0;0.000
Флорбол;поселение Сосенское;0;0.000
Фристайл;поселение Сосенское;0;0.000
Футбольный фристайл;поселение Сосенское;0;0.000
Хоккей на траве;поселение Сосенское;0;0.000
Хореография;поселение Сосенское;0;0.000
Чир спорт;поселение Сосенское;0;0.000
Экспозиции;поселение Сосенское;0;0.000
Эстетическая гимнастика;поселение Сосенское;0;0.000
Авиамодельный спорт;поселение Сосенское;0;0.000
Автомобильный спорт;поселение Троицк;0;0.000
Автомодельный спорт;поселение Троицк;0;0.000
Аквааэробика;поселение Троицк;0;0.000
Акробатический рок-н-ролл;поселение Троицк;0;0.000
Альпинизм;поселение Троицк;0;0.000
Американский футбол;поселение Троицк;0;0.000
Армейский рукопашный бой;поселение Троицк;0;0.000
Армлифтинг;поселение Троицк;0;0.000
Армрестлинг;поселение Троицк;0;0.000
Аэробика;поселение Троицк;0;0.000
Бадминтон;поселение Троицк;0;0.000
Бег;поселение Троицк;0;0.000
Бейсбол;поселение Троицк;0;0.000
Биатлон;поселение Троицк;0;0.000
Бильярдный спорт;поселение Троицк;0;0.000
Бодибилдинг;поселение Троицк;0;0.000
Борьба на поясах;поселение Троицк;0;0.000
Боулинг;поселение Троицк;0;0.000
Бочча;поселение Троицк;0;0.000
Веломобильный спорт;поселение Троицк;0;0.000
Велопрогулки;поселение Троицк;0;0.000
Велоспорт;поселение Троицк;0;0.000
Велоспорт - Маунтинбайк;поселение Троицк;0;0.000
Велоспорт - Трек;поселение Троицк;0;0.000
Велоспорт - Шоссе;поселение Троицк;0;0.000
Велоспорт ВМХ;поселение Троицк;0;0.000
Водное поло;поселение Троицк;0;0.000
Воднолыжный спорт;поселение Троицк;0;0.000
Воркаут;поселение Троицк;0;0.000
Восточное единоборство;поселение Троицк;0;0.000
Физкультурно-спортивный комплекс ГТО;поселение Троицк;0;0.000
Всестилевое каратэ;поселение Троицк;0;0.000
Гандбол;поселение Троицк;0;0.000
Гиревой спорт;поселение Троицк;0;0.000
Гольф;поселение Троицк;0;0.000
Горнолыжный спорт;поселение Троицк;0;0.000
Городошный спорт;поселение Троицк;0;0.000
Гребля на байдарках и каноэ;поселение Троицк;0;0.000
Гребля на шлюпках;поселение Троицк;0;0.000
Гребной спорт;поселение Троицк;0;0.000
Дартс;поселение Троицк;0;0.000
Джиу-джитсу;поселение Троицк;0;0.000
Ездовой спорт;поселение Троицк;0;0.000
Зимнее купание;поселение Троицк;0;0.000
Зорбинг;поселение Троицк;0;0.000
Зумба;поселение Троицк;0;0.000
Игра в снежки;поселение Троицк;0;0.000
Йога;поселение Троицк;0;0.000
Каратэ;поселение Троицк;0;0.000
Катание на ездовой упряжке;поселение Троицк;0;0.000
Катание на коньках;поселение Троицк;0;0.000
Катание на лошадях;поселение Троицк;0;0.000
Катание на лыжах;поселение Троицк;0;0.000
Катание на лыжах;поселение Троицк;0;0.000
Катание на надувных санях;поселение Троицк;0;0.000
Катание на санках;поселение Троицк;0;0.000
Катание на тюбингах;поселение Троицк;0;0.000
Катание с горки;поселение Троицк;0;0.000
Кендо;поселение Троицк;0;0.000
Кёрлинг;поселение Троицк;0;0.000
Киберспорт;поселение Троицк;0;0.000
Кикбоксинг;поселение Троицк;0;0.000
Киокусинкай;поселение Троицк;0;0.000
Комплексное единоборство;поселение Троицк;0;0.000
Комплексное соревнование;поселение Троицк;0;0.000
Конгрессы, конференции, семинары;поселение Троицк;0;0.000
Конный спорт;поселение Троицк;0;0.000
Конькобежный спорт;поселение Троицк;0;0.000
Кроссфит;поселение Троицк;0;0.000
Лыжное двоеборье;поселение Троицк;0;0.000
Лыжные гонки;поселение Троицк;0;0.000
Мас-рестлинг;поселение Троицк;0;0.000
Мини-гольф;поселение Троицк;0;0.000
Мотоциклетный спорт;поселение Троицк;0;0.000
Настольные игры;поселение Троицк;0;0.000
Настольный теннис;поселение Троицк;0;0.000
Новус;поселение Троицк;0;0.000
Обучение правилам дорожного движения;поселение Троицк;0;0.000
Оздоровительная гимнастика;поселение Троицк;0;0.000
Отдых у воды;поселение Троицк;0;0.000
Петанк;поселение Троицк;0;0.000
Подводный спорт;поселение Троицк;0;0.000
Полиатлон;поселение Троицк;0;0.000
Комплексные мероприятия;поселение Троицк;0;0.000
Практическая стрельба;поселение Троицк;0;0.000
Прокат спортинвентаря;поселение Троицк;0;0.000
Прыжки в воду;поселение Троицк;0;0.000
Прыжки на батуте;поселение Троицк;0;0.000
Прыжки на лыжах с трамплина;поселение Троицк;0;0.000
Пулевая стрельба;поселение Троицк;0;0.000
Пейнтбол;поселение Троицк;0;0.000
Регби;поселение Троицк;0;0.000
Ритмическая гимнастика;поселение Троицк;0;0.000
Роллер спорт;поселение Троицк;0;0.000
Рыболовный спорт;поселение Троицк;0;0.000
Самбо;поселение Троицк;0;0.000
Самокатный спорт;поселение Троицк;0;0.000
Силовой;поселение Троицк;0;0.000
Синхронное плавание;поселение Троицк;0;0.000
Скалолазание;поселение Троицк;0;0.000
Скандинавская ходьба;поселение Троицк;0;0.000
Сквош;поселение Троицк;0;0.000
Скейтбординг;поселение Троицк;0;0.000
Смешанное единоборство (ММА);поселение Троицк;0;0.000
Сноуборд;поселение Троицк;0;0.000
Современное пятиборье;поселение Троицк;0;0.000
Софтбол;поселение Троицк;0;0.000
Спорт глухих;поселение Троицк;0;0.000
Спорт лиц с ОВЗ;поселение Троицк;0;0.000
Спорт лиц с поражением ОДА;поселение Троицк;0;0.000
Спортивная аэробика;поселение Троицк;0;0.000
Спортивная борьба;поселение Троицк;0;0.000
Спортивная гимнастика;поселение Троицк;0;0.000
Спортивный туризм;поселение Троицк;0;0.000
Стендовая стрельба;поселение Троицк;0;0.000
Страйкбол;поселение Троицк;0;0.000
Стрельба;поселение Троицк;0;0.000
Стрельба из арбалета;поселение Троицк;0;0.000
Стрельба из стрелкового оружия;поселение Троицк;0;0.000
Стрельба из лука;поселение Троицк;0;0.000
Стрельба из табельного оружия;поселение Троицк;0;0.000
Стрельба из электронного оружия;поселение Троицк;0;0.000
Сумо;поселение Троицк;0;0.000
Тайский бокс;поселение Троицк;0;0.000
Танцевальный спорт;поселение Троицк;0;0.000
Тяжелая атлетика;поселение Троицк;0;0.000
Ушу;поселение Троицк;0;0.000
Фехтование;поселение Троицк;0;0.000
Фигурное катание;поселение Троицк;0;0.000
Фитнес-аэробика;поселение Троицк;0;0.000
Флорбол;поселение Троицк;0;0.000
Фристайл;поселение Троицк;0;0.000
Футбольный фристайл;поселение Троицк;0;0.000
Хоккей;поселение Троицк;0;0.000
Хоккей на траве;поселение Троицк;0;0.000
Хореография;поселение Троицк;0;0.000
Художественная гимнастика;поселение Троицк;0;0.000
Чир спорт;поселение Троицк;0;0.000
Шахматы;поселение Троицк;0;0.000
Шашки;поселение Троицк;0;0.000
Экспозиции;поселение Троицк;0;0.000
Эстетическая гимнастика;поселение Троицк;0;0.000
Авиамодельный спорт;поселение Троицк;0;0.000
Автомобильный спорт;поселение Филимонковское;0;0.000
Автомодельный спорт;поселение Филимонковское;0;0.000
Аквааэробика;поселение Филимонковское;0;0.000
Акробатический рок-н-ролл;поселение Филимонковское;0;0.000
Альпинизм;поселение Филимонковское;0;0.000
Американский футбол;поселение Филимонковское;0;0.000
Армейский рукопашный бой;поселение Филимонковское;0;0.000
Армлифтинг;поселение Филимонковское;0;0.000
Армрестлинг;поселение Филимонковское;0;0.000
Аэробика;поселение Филимонковское;0;0.000
Бейсбол;поселение Филимонковское;0;0.000
Биатлон;поселение Филимонковское;0;0.000
Бильярдный спорт;поселение Филимонковское;0;0.000
Бодибилдинг;поселение Филимонковское;0;0.000
Борьба на поясах;поселение Филимонковское;0;0.000
Боулинг;поселение Филимонковское;0;0.000
Бочча;поселение Филимонковское;0;0.000
Веломобильный спорт;поселение Филимонковское;0;0.000
Велопрогулки;поселение Филимонковское;0;0.000
Велоспорт;поселение Филимонковское;0;0.000
Велоспорт - Маунтинбайк;поселение Филимонковское;0;0.000
Велоспорт - Трек;поселение Филимонковское;0;0.000
Велоспорт - Шоссе;поселение Филимонковское;0;0.000
Велоспорт ВМХ;поселение Филимонковское;0;0.000
Водное поло;поселение Филимонковское;0;0.000
Воднолыжный спорт;поселение Филимонковское;0;0.000
Восточное единоборство;поселение Филимонковское;0;0.000
Физкультурно-спортивный комплекс ГТО;поселение Филимонковское;0;0.000
Всестилевое каратэ;поселение Филимонковское;0;0.000
Гандбол;поселение Филимонковское;0;0.000
Гиревой спорт;поселение Филимонковское;0;0.000
Гольф;поселение Филимонковское;0;0.000
Горнолыжный спорт;поселение Филимонковское;0;0.000
Городошный спорт;поселение Филимонковское;0;0.000
Гребля на байдарках и каноэ;поселение Филимонковское;0;0.000
Гребля на шлюпках;поселение Филимонковское;0;0.000
Гребной спорт;поселение Филимонковское;0;0.000
Дартс;поселение Филимонковское;0;0.000
Джиу-джитсу;поселение Филимонковское;0;0.000
Ездовой спорт;поселение Филимонковское;0;0.000
Зимнее купание;поселение Филимонковское;0;0.000
Зорбинг;поселение Филимонковское;0;0.000
Зумба;поселение Филимонковское;0;0.000
Игра в снежки;поселение Филимонковское;0;0.000
Йога;поселение Филимонковское;0;0.000
Каратэ;поселение Филимонковское;0;0.000
Катание на ездовой упряжке;поселение Филимонковское;0;0.000
Катание на лошадях;поселение Филимонковское;0;0.000
Катание на лыжах;поселение Филимонковское;0;0.000
Катание на лыжах;поселение Филимонковское;0;0.000
Катание на надувных санях;поселение Филимонковское;0;0.000
Катание на санках;поселение Филимонковское;0;0.000
Катание на тюбингах;поселение Филимонковское;0;0.000
Кендо;поселение Филимонковское;0;0.000
Кёрлинг;поселение Филимонковское;0;0.000
Киберспорт;поселение Филимонковское;0;0.000
Кикбоксинг;поселение Филимонковское;0;0.000
Киокусинкай;поселение Филимонковское;0;0.000
Комплексное единоборство;поселение Филимонковское;0;0.000
Комплексное соревнование;поселение Филимонковское;0;0.000
Конгрессы, конференции, семинары;поселение Филимонковское;0;0.000
Конный спорт;поселение Филимонковское;0;0.000
Конькобежный спорт;поселение Филимонковское;0;0.000
Кроссфит;поселение Филимонковское;0;0.000
Лыжное двоеборье;поселение Филимонковское;0;0.000
Мас-рестлинг;поселение Филимонковское;0;0.000
Мини-гольф;поселение Филимонковское;0;0.000
Мотоциклетный спорт;поселение Филимонковское;0;0.000
Настольные игры;поселение Филимонковское;0;0.000
Настольный теннис;поселение Филимонковское;0;0.000
Новус;поселение Филимонковское;0;0.000
Оздоровительная гимнастика;поселение Филимонковское;0;0.000
Отдых на природе;поселение Филимонковское;0;0.000
Отдых у воды;поселение Филимонковское;0;0.000
Петанк;поселение Филимонковское;0;0.000
Подводный спорт;поселение Филимонковское;0;0.000
Полиатлон;поселение Филимонковское;0;0.000
Комплексные мероприятия;поселение Филимонковское;0;0.000
Практическая стрельба;поселение Филимонковское;0;0.000
Прокат спортинвентаря;поселение Филимонковское;0;0.000
Прыжки в воду;поселение Филимонковское;0;0.000
Прыжки на батуте;поселение Филимонковское;0;0.000
Прыжки на лыжах с трамплина;поселение Филимонковское;0;0.000
Пулевая стрельба;поселение Филимонковское;0;0.000
Пейнтбол;поселение Филимонковское;0;0.000
Регби;поселение Филимонковское;0;0.000
Ритмическая гимнастика;поселение Филимонковское;0;0.000
Роллер спорт;поселение Филимонковское;0;0.000
Рыболовный спорт;поселение Филимонковское;0;0.000
Самбо;поселение Филимонковское;0;0.000
Самокатный спорт;поселение Филимонковское;0;0.000
Семейный отдых;поселение Филимонковское;0;0.000
Силовой;поселение Филимонковское;0;0.000
Синхронное плавание;поселение Филимонковское;0;0.000
Скалолазание;поселение Филимонковское;0;0.000
Скандинавская ходьба;поселение Филимонковское;0;0.000
Сквош;поселение Филимонковское;0;0.000
Скейтбординг;поселение Филимонковское;0;0.000
Смешанное единоборство (ММА);поселение Филимонковское;0;0.000
Сноуборд;поселение Филимонковское;0;0.000
Современное пятиборье;поселение Филимонковское;0;0.000
Софтбол;поселение Филимонковское;0;0.000
Спорт глухих;поселение Филимонковское;0;0.000
Спорт лиц с ОВЗ;поселение Филимонковское;0;0.000
Спорт лиц с поражением ОДА;поселение Филимонковское;0;0.000
Спортивная аэробика;поселение Филимонковское;0;0.000
Спортивная борьба;поселение Филимонковское;0;0.000
Спортивная гимнастика;поселение Филимонковское;0;0.000
Спортивный туризм;поселение Филимонковское;0;0.000
Стендовая стрельба;поселение Филимонковское;0;0.000
Страйкбол;поселение Филимонковское;0;0.000
Стрельба;поселение Филимонковское;0;0.000
Стрельба из арбалета;поселение Филимонковское;0;0.000
Стрельба из стрелкового оружия;поселение Филимонковское;0;0.000
Стрельба из лука;поселение Филимонковское;0;0.000
Стрельба из табельного оружия;поселение Филимонковское;0;0.000
Стрельба из электронного оружия;поселение Филимонковское;0;0.000
Сумо;поселение Филимонковское;0;0.000
Тайский бокс;поселение Филимонковское;0;0.000
Ушу;поселение Филимонковское;0;0.000
Фехтование;поселение Филимонковское;0;0.000
Фигурное катание;поселение Филимонковское;0;0.000
Фитнес-аэробика;поселение Филимонковское;0;0.000
Флорбол;поселение Филимонковское;0;0.000
Фристайл;поселение Филимонковское;0;0.000
Футбольный фристайл;поселение Филимонковское;0;0.000
Хоккей;поселение Филимонковское;0;0.000
Хоккей на траве;поселение Филимонковское;0;0.000
Хореография;поселение Филимонковское;0;0.000
Художественная гимнастика;поселение Филимонковское;0;0.000
Чир спорт;поселение Филимонковское;0;0.000
Шахматы;поселение Филимонковское;0;0.000
Шашки;поселение Филимонковское;0;0.000
Экспозиции;поселение Филимонковское;0;0.000
Эстетическая гимнастика;поселение Филимонковское;0;0.000
Авиамодельный спорт;поселение Филимонковское;0;0.000
Автомобильный спорт;поселение Щаповское;0;0.000
Автомодельный спорт;поселение Щаповское;0;0.000
Айкидо;поселение Щаповское;0;0.000
Аквааэробика;поселение Щаповское;0;0.000
Акробатический рок-н-ролл;поселение Щаповское;0;0.000
Альпинизм;поселение Щаповское;0;0.000
Американский футбол;поселение Щаповское;0;0.000
Армейский рукопашный бой;поселение Щаповское;0;0.000
Армлифтинг;поселение Щаповское;0;0.000
Армрестлинг;поселение Щаповское;0;0.000
Аэробика;поселение Щаповское;0;0.000
Бадминтон;поселение Щаповское;0;0.000
Бег;поселение Щаповское;0;0.000
Бейсбол;поселение Щаповское;0;0.000
Биатлон;поселение Щаповское;0;0.000
Бильярдный спорт;поселение Щаповское;0;0.000
Бодибилдинг;поселение Щаповское;0;0.000
Бокс;поселение Щаповское;0;0.000
Борьба на поясах;поселение Щаповское;0;0.000
Боулинг;поселение Щаповское;0;0.000
Бочча;поселение Щаповское;0;0.000
Веломобильный спорт;поселение Щаповское;0;0.000
Велопрогулки;поселение Щаповское;0;0.000
Велоспорт;поселение Щаповское;0;0.000
Велоспорт - Маунтинбайк;поселение Щаповское;0;0.000
Велоспорт - Трек;поселение Щаповское;0;0.000
Велоспорт - Шоссе;поселение Щаповское;0;0.000
Велоспорт ВМХ;поселение Щаповское;0;0.000
Водное поло;поселение Щаповское;0;0.000
Воднолыжный спорт;поселение Щаповское;0;0.000
Восточное единоборство;поселение Щаповское;0;0.000
Физкультурно-спортивный комплекс ГТО;поселение Щаповское;0;0.000
Всестилевое каратэ;поселение Щаповское;0;0.000
Гандбол;поселение Щаповское;0;0.000
Гиревой спорт;поселение Щаповское;0;0.000
Гольф;поселение Щаповское;0;0.000
Горнолыжный спорт;поселение Щаповское;0;0.000
Городошный спорт;поселение Щаповское;0;0.000
Гребля на байдарках и каноэ;поселение Щаповское;0;0.000
Гребля на шлюпках;поселение Щаповское;0;0.000
Гребной спорт;поселение Щаповское;0;0.000
Дартс;поселение Щаповское;0;0.000
Джиу-джитсу;поселение Щаповское;0;0.000
Дзюдо;поселение Щаповское;0;0.000
Ездовой спорт;поселение Щаповское;0;0.000
Зимнее купание;поселение Щаповское;0;0.000
Зорбинг;поселение Щаповское;0;0.000
Зумба;поселение Щаповское;0;0.000
Игра в снежки;поселение Щаповское;0;0.000
Йога;поселение Щаповское;0;0.000
Капоэйра;поселение Щаповское;0;0.000
Каратэ;поселение Щаповское;0;0.000
Катание на ездовой упряжке;поселение Щаповское;0;0.000
Катание на коньках;поселение Щаповское;0;0.000
Катание на лошадях;поселение Щаповское;0;0.000
Катание на лыжах;поселение Щаповское;0;0.000
Катание на лыжах;поселение Щаповское;0;0.000
Катание на надувных санях;поселение Щаповское;0;0.000
Катание на санках;поселение Щаповское;0;0.000
Катание на тюбингах;поселение Щаповское;0;0.000
Катание с горки;поселение Щаповское;0;0.000
Кендо;поселение Щаповское;0;0.000
Кёрлинг;поселение Щаповское;0;0.000
Киберспорт;поселение Щаповское;0;0.000
Кикбоксинг;поселение Щаповское;0;0.000
Киокусинкай;поселение Щаповское;0;0.000
Комплексное единоборство;поселение Щаповское;0;0.000
Комплексное соревнование;поселение Щаповское;0;0.000
Конгрессы, конференции, семинары;поселение Щаповское;0;0.000
Конный спорт;поселение Щаповское;0;0.000
Конькобежный спорт;поселение Щаповское;0;0.000
Кроссфит;поселение Щаповское;0;0.000
Лыжное двоеборье;поселение Щаповское;0;0.000
Мас-рестлинг;поселение Щаповское;0;0.000
Мини-гольф;поселение Щаповское;0;0.000
Мотоциклетный спорт;поселение Щаповское;0;0.000
Настольные игры;поселение Щаповское;0;0.000
Настольный теннис;поселение Щаповское;0;0.000
Новус;поселение Щаповское;0;0.000
Обучение правилам дорожного движения;поселение Щаповское;0;0.000
Оздоровительная гимнастика;поселение Щаповское;0;0.000
Отдых на природе;поселение Щаповское;0;0.000
Отдых у воды;поселение Щаповское;0;0.000
Пауэрлифтинг;поселение Щаповское;0;0.000
Петанк;поселение Щаповское;0;0.000
Плавание;поселение Щаповское;0;0.000
Подводный спорт;поселение Щаповское;0;0.000
Полиатлон;поселение Щаповское;0;0.000
Комплексные мероприятия;поселение Щаповское;0;0.000
Практическая стрельба;поселение Щаповское;0;0.000
Прокат спортинвентаря;поселение Щаповское;0;0.000
Прыжки в воду;поселение Щаповское;0;0.000
Прыжки на батуте;поселение Щаповское;0;0.000
Прыжки на лыжах с трамплина;поселение Щаповское;0;0.000
Пулевая стрельба;поселение Щаповское;0;0.000
Пейнтбол;поселение Щаповское;0;0.000
Развивающие игры для детей;поселение Щаповское;0;0.000
Регби;поселение Щаповское;0;0.000
Ритмическая гимнастика;поселение Щаповское;0;0.000
Рукопашный бой;поселение Щаповское;0;0.000
Рыболовный спорт;поселение Щаповское;0;0.000
Самбо;поселение Щаповское;0;0.000
